GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project,csci310.service,UserDetailsImpl,80,0,6,0,23,0,13,0,10,0
Project,csci310.service,PgdDetailsService,215,0,6,0,28,0,12,0,9,0
Project,csci310.service,UserPreferencesService,290,0,6,0,39,0,13,0,10,0
Project,csci310.service,PrivacyService,167,0,0,0,28,0,9,0,9,0
Project,csci310.service,UnavailabilityDateService,53,0,0,0,13,0,3,0,3,0
Project,csci310.service,EventsHomePageService,93,0,4,0,15,0,6,0,4,0
Project,csci310.service,UserDetailsServiceImpl,27,0,0,0,4,0,3,0,3,0
Project,csci310.payload,PrivacyRequest,10,0,0,0,4,0,3,0,3,0
Project,csci310.payload,RegisterRequest,24,0,0,0,9,0,7,0,7,0
Project,csci310.payload,UnavailabilityDateRequest,17,0,0,0,7,0,5,0,5,0
Project,csci310.payload,PgdDetailsRequest,10,0,0,0,4,0,3,0,3,0
Project,csci310.payload,PgdResponsesRequest,17,0,0,0,7,0,5,0,5,0
Project,csci310.payload,JwtResponse,39,0,0,0,16,0,8,0,8,0
Project,csci310.payload,SetPreferencesRequest,17,0,0,0,7,0,5,0,5,0
Project,csci310.payload,LoginRequest,17,0,0,0,7,0,5,0,5,0
Project,csci310.payload,PreferencesRequest,10,0,0,0,4,0,3,0,3,0
Project,csci310,Algorithm.PGDEvent,22,29,8,2,3,7,5,2,0,2
Project,csci310,TicketMasterInterface,3,166,0,14,2,41,0,9,0,2
Project,csci310,GroupieApplication,8,0,0,0,3,0,2,0,2,0
Project,csci310,Algorithm,10,77,2,6,2,16,2,4,0,2
Project,csci310,PasswordHash,0,28,0,0,0,6,0,2,0,2
Project,csci310,RequestLoggingFilterConfig,24,0,0,0,8,0,2,0,2,0
Project,csci310.web,PgdDetailsController,23,0,0,0,5,0,4,0,4,0
Project,csci310.web,EventsHomePageController,27,0,0,0,7,0,3,0,3,0
Project,csci310.web,AuthController,89,0,2,0,21,0,5,0,4,0
Project,csci310.web,UserPreferencesController,23,0,0,0,6,0,4,0,4,0
Project,csci310.web,PrivacyController,19,0,0,0,6,0,4,0,4,0
Project,csci310.web,EventsHomePageController.new Comparator() {...},60,0,6,0,13,0,5,0,2,0
Project,csci310.web,EventsHomePageController.new Comparator() {...},54,0,6,0,13,0,5,0,2,0
Project,csci310.web,UnavailabilityDateController,15,0,0,0,4,0,3,0,3,0
Project,csci310.database,DbConfig,20,0,0,0,6,0,2,0,2,0
Project,csci310.database,SQLiteDialect,115,0,0,0,35,0,12,0,12,0
Project,csci310.database,SQLiteIdentityColumnSupport,9,0,0,0,4,0,4,0,4,0
Project,csci310.domain,Event,35,18,0,0,16,7,10,2,10,2
Project,csci310.domain,User,77,12,0,0,33,5,22,2,22,2
Project,csci310.domain,UnavailabilityDate,36,0,0,0,16,0,8,0,8,0
Project,csci310.domain,UserPreference,39,27,0,0,18,10,11,3,11,3
Project,csci310.domain,Message,9,0,0,0,4,0,2,0,2,0
Project,csci310.domain,PGD,64,24,0,0,29,9,18,4,18,4
Project,csci310.security,WebSecurityConfig,65,0,0,0,14,0,6,0,6,0
Project,csci310.security,AuthTokenFilter,76,0,8,0,19,0,8,0,4,0
Project,csci310.security,JwtUtils,92,0,0,0,24,0,5,0,5,0
Project,csci310.security,AuthEntryPointJwt,17,0,0,0,5,0,3,0,3,0
